iter	MultiRMSE
213	0.7485441411
214	0.7429300602
215	0.7373580849
216	0.7318278994
217	0.7263391902
218	0.7208916464
219	0.7154849592
220	0.7101188221
221	0.7047929311
222	0.6995069842
223	0.6942606819
224	0.689053727
225	0.6838858241
226	0.6787566805
227	0.6736660056
228	0.6686135106
229	0.6635989094
230	0.6586219177
231	0.6541585012
232	0.6492523126
233	0.6443829203
234	0.6395500486
235	0.6347534233
236	0.6299927727
237	0.625267827
238	0.6205783184
239	0.6159239812
240	0.6113045514
241	0.6067197674
242	0.6021693692
243	0.597653099
244	0.5931707009
245	0.5887219207
246	0.5843065064
247	0.5799242077
248	0.5755747763
249	0.5712579656
250	0.5669735309
251	0.5627212295
252	0.5585008204
253	0.5543120643
254	0.5501547239
255	0.5460285636
256	0.5419333495
257	0.5378688494
258	0.5338348332
259	0.529831072
260	0.5258573391
261	0.5219134091
262	0.5179990586
263	0.5141140658
264	0.5102582104
265	0.5064312739
266	0.5026330394
267	0.4988632917
268	0.4951218171
269	0.4914084035
270	0.4877228406
271	0.4840649194
272	0.4804344326
273	0.4768311744
274	0.4732549407
275	0.4697055287
276	0.4661827373
277	0.4626863668
278	0.4592162192
279	0.4557720976
280	0.452353807
281	0.4489611535
282	0.4455939449
283	0.4422519904
284	0.4389351005
285	0.4356430874
286	0.4323757643
287	0.4291329461
288	0.4259144491
289	0.4227200908
290	0.4195496902
291	0.4164030676
292	0.4132800446
293	0.4101804444
294	0.4071040911
295	0.4040508105
296	0.4010204295
297	0.3980127763
298	0.3950276806
299	0.392064973
300	0.3891244858
301	0.3862060522
302	0.3833095069
303	0.3804346857
304	0.3775814256
305	0.374749565
306	0.3719389433
307	0.3691494013
308	0.3663807808
309	0.363632925
310	0.3609056781
311	0.3581988856
312	0.355512394
313	0.3528460511
314	0.3501997058
315	0.3475732081
316	0.3449664091
317	0.3423791611
318	0.3398113174
319	0.3372627326
320	0.3347332622
321	0.3322227627
322	0.3297310921
323	0.3272581089
324	0.3248036732
325	0.3223676457
326	0.3199498884
327	0.3175502643
328	0.3151686374
329	0.3128048726
330	0.3104588361
331	0.3081303949
332	0.305819417
333	0.3035257714
334	0.3012493282
335	0.2989899583
336	0.2967475337
337	0.2945219272
338	0.2923130128
339	0.2901206653
340	0.2879447603
341	0.2857851747
342	0.2836417859
343	0.2815144725
344	0.2794031141
345	0.2773075907
346	0.2752277839
347	0.2731635755
348	0.2711148488
349	0.2690814874
350	0.2670633763
351	0.265060401
352	0.2630724481
353	0.2610994048
354	0.2591411593
355	0.2571976006
356	0.2552686187
357	0.2533541041
358	0.2514539483
359	0.2495680438
360	0.2476962835
361	0.2458385614
362	0.2439947722
363	0.2421648115
364	0.2403485754
365	0.2385459611
366	0.2367568665
367	0.23498119
368	0.2332188311
369	0.2314696899
370	0.2297336673
371	0.2280106648
372	0.2263005849
373	0.2246033305
374	0.2229188056
375	0.2212469146
376	0.2195875628
377	0.2179406561
378	0.2163061012
379	0.2146838055
380	0.213073677
381	0.2114756244
382	0.2098895573
383	0.2083153856
384	0.2067530203
385	0.2052023727
386	0.2036633549
387	0.2021358798
388	0.2006198607
389	0.1991152118
390	0.1976218477
391	0.1961396839
392	0.1946686363
393	0.1932086216
394	0.1917595569
395	0.1903213603
396	0.1888939501
397	0.1874772455
398	0.1860711662
399	0.1846756325
400	0.1832905653
401	0.1819158861
402	0.180551517
403	0.1791973806
404	0.1778534003
405	0.1765194998
406	0.1751956036
407	0.1738816366
408	0.1725775244
409	0.171283193
410	0.169998569
411	0.1687235798
412	0.167458153
413	0.1662022169
414	0.1649557003
415	0.1637185325
416	0.1624906436
417	0.1612719638
418	0.1600624241
419	0.1588619559
420	0.1576704913
421	0.1564879626
422	0.1553143029
423	0.1541494457
424	0.1529933249
425	0.151845875
426	0.1507070309
427	0.1495767282
428	0.1484549028
429	0.147341491
430	0.1462364299
431	0.1451396567
432	0.1440511093
433	0.142970726
434	0.1418984456
435	0.1408342072
436	0.1397779507
437	0.1387296161
438	0.137689144
439	0.1366564754
440	0.1356315519
441	0.1346143153
442	0.1336047079
443	0.1326026727
444	0.1316081526
445	0.1306210915
446	0.1296414333
447	0.1286691226
448	0.1277041042
449	0.1267463235
450	0.1257957261
451	0.1248522581
452	0.1239158662
453	0.1229864972
454	0.1220640985
455	0.1211486178
456	0.1202400032
457	0.1193382032
458	0.1184431667
459	0.117554843
460	0.1166731817
461	0.1157981328
462	0.1149296468
463	0.1140676745
464	0.113212167
465	0.1123630757
466	0.1115203527
467	0.1106839501
468	0.1098538205
469	0.1090299168
470	0.1082121925
471	0.107400601
472	0.1065950965
473	0.1057956333
474	0.1050021661
475	0.1042146499
476	0.10343304
477	0.1026572922
478	0.1018873626
479	0.1011232074
480	0.1003647833
481	0.09961204746
482	0.09886495712
483	0.09812346996
484	0.09738754395
485	0.09665713739
486	0.09593220888
487	0.09521271733
488	0.09449862196
489	0.09378988231
490	0.09308645821
491	0.09238830979
492	0.09169539748
493	0.09100768202
494	0.09032512442
495	0.089647686
496	0.08897532837
497	0.08830801342
498	0.08764570334
499	0.08698836058
500	0.08633594789
501	0.08568842829
502	0.08504576509
503	0.08440792187
504	0.08377486247
505	0.08314655102
506	0.0825229519
507	0.08190402977
508	0.08128974956
509	0.08068007645
510	0.08007497589
511	0.07947441359
512	0.0788783555
513	0.07828676785
514	0.0776996171
515	0.07711686999
516	0.07653849347
517	0.07596445478
518	0.07539472139
519	0.07482926099
520	0.07426804154
521	0.07371103125
522	0.07315819852
523	0.07260951205
524	0.07206494072
525	0.07152445367
526	0.07098802028
527	0.07045561014
528	0.06992719308
529	0.06940273914
530	0.06888221861
531	0.06836560198
532	0.06785285998
533	0.06734396354
534	0.06683888383
535	0.06633759221
536	0.06584006028
537	0.06534625984
538	0.0648561629
539	0.06436974169
540	0.06388696864
541	0.06340781638
542	0.06293225777
543	0.06246026585
544	0.06199181386
545	0.06152687527
546	0.06106542372
547	0.06060743305
548	0.06015287731
549	0.05970173074
550	0.05925396777
551	0.05880956302
552	0.05836849131
553	0.05793072763
554	0.05749624719
555	0.05706502534
556	0.05663703766
557	0.05621225989
558	0.05579066795
559	0.05537223795
560	0.05495694617
561	0.05454476909
562	0.05413568333
563	0.05372966571
564	0.05332669323
565	0.05292674304
566	0.05252979247
567	0.05213581904
568	0.05174480041
569	0.05135671441
570	0.05097153906
571	0.05058925253
572	0.05020983314
573	0.0498332594
574	0.04945950996
575	0.04908856365
576	0.04872039943
577	0.04835499644
578	0.04799233398
579	0.04763239148
580	0.04727514855
581	0.04692058494
582	0.04656868057
583	0.04621941547
584	0.04587276986
585	0.04552872409
586	0.04518725867
587	0.04484835424
588	0.04451199159
589	0.04417815166
590	0.04384681553
591	0.04351796442
592	0.0431915797
593	0.04286764285
594	0.04254613554
595	0.04222703953
596	0.04191033674
597	0.04159600922
598	0.04128403916
599	0.04097440887
600	0.04066710081
601	0.04036209757
602	0.04005938184
603	0.03975893648
604	0.03946074447
605	0.03916478889
606	0.03887105298
607	0.03857952009
608	0.03829017369
609	0.0380029974
610	0.03771797492
611	0.03743509012
612	0.03715432695
613	0.0368756695
614	0.03659910199
615	0.03632460873
616	0.03605217417
617	0.03578178287
618	0.0355134195
619	0.03524706886
620	0.03498271585
621	0.03472034549
622	0.0344599429
623	0.03420149334
624	0.03394498214
625	0.03369039478
626	0.03343771683
627	0.03318693396
628	0.03293803196
629	0.03269099672
630	0.03244581425
631	0.03220247065
632	0.03196095213
633	0.03172124499
634	0.03148333566
635	0.03124721065
636	0.03101285657
637	0.03078026016
638	0.03054940821
639	0.03032028765
640	0.0300928855
641	0.02986718886
642	0.02964318495
643	0.02942086107
644	0.02920020462
645	0.02898120309
646	0.02876384407
647	0.02854811524
648	0.02833400438
649	0.02812149936
650	0.02791058812
651	0.02770125871
652	0.02749349927
653	0.02728729803
654	0.0270826433
655	0.02687952348
656	0.02667792706
657	0.02647784261
658	0.0262792588
659	0.02608216436
660	0.02588654813
661	0.02569239903
662	0.02549970604
663	0.02530845825
664	0.02511864481
665	0.02493025498
666	0.02474327807
667	0.02455770349
668	0.02437352072
669	0.02419071932
670	0.02400928893
671	0.02382921927
672	0.02365050012
673	0.02347312138
674	0.02329707297
675	0.02312234493
676	0.02294892734
677	0.02277681039
678	0.02260598432
679	0.02243643944
680	0.02226816615
681	0.02210115491
682	0.02193539625
683	0.02177088078
684	0.02160759918
685	0.02144554219
686	0.02128470063
687	0.02112506537
688	0.02096662739
689	0.02080937769
690	0.02065330736
691	0.02049840755
692	0.0203446695
693	0.02019208448
694	0.02004064385
695	0.01989033903
696	0.01974116149
697	0.01959310278
698	0.01944615451
699	0.01930030836
700	0.01915555605
701	0.01901188938
702	0.01886930021
703	0.01872778046
704	0.01858732211
705	0.0184479172
706	0.01830955783
707	0.01817223615
708	0.01803594438
709	0.0179006748
710	0.01776641974
711	0.01763317159
712	0.01750092281
713	0.01736966589
714	0.0172393934
715	0.01711009795
716	0.01698177222
717	0.01685440893
718	0.01672800087
719	0.01660254086
720	0.01647802181
721	0.01635443665
722	0.01623177838
723	0.01611004004
724	0.01598921475
725	0.01586929564
726	0.01575027592
727	0.01563214886
728	0.01551490774
729	0.01539854594
730	0.01528305684
731	0.01516843392
732	0.01505467067
733	0.01494176064
734	0.01482969744
735	0.01471847471
736	0.01460808615
737	0.01449852551
738	0.01438978657
739	0.01428186317
740	0.0141747492
741	0.01406843859
742	0.0139629253
743	0.01385820336
744	0.01375426684
745	0.01365110984
746	0.01354872652
747	0.01344711107
748	0.01334625774
749	0.01324616081
750	0.01314681461
751	0.0130482135
752	0.0129503519
753	0.01285322426
754	0.01275682508
755	0.0126611489
756	0.01256619028
757	0.01247194386
758	0.01237840428
759	0.01228556625
760	0.01219342451
761	0.01210197382
762	0.01201120902
763	0.01192112496
764	0.01183171652
765	0.01174297865
766	0.01165490631
767	0.01156749452
768	0.01148073831
769	0.01139463277
770	0.01130917303
771	0.01122435423
772	0.01114017158
773	0.01105662029
774	0.01097369564
775	0.01089139293
776	0.01080970748
777	0.01072863468
778	0.01064816992
779	0.01056830865
780	0.01048904633
781	0.01041037849
782	0.01033230065
783	0.0102548084
784	0.01017789734
785	0.01010156311
786	0.01002580139
787	0.009950607879
788	0.009875978322
789	0.009801908486
790	0.009728394174
791	0.009655431219
792	0.009583015487
793	0.009511142872
794	0.009439809302
795	0.009369010734
796	0.009298743155
797	0.009229002583
798	0.009159785065
799	0.009091086679
800	0.00902290353
801	0.008955231755
802	0.008888067518
803	0.008821407014
804	0.008755246462
805	0.008689582115
806	0.008624410251
807	0.008559727176
808	0.008495529223
809	0.008431812755
810	0.008368574161
811	0.008305809856
812	0.008243516284
813	0.008181689913
814	0.00812032724
815	0.008059424787
816	0.007998979103
817	0.007938986761
818	0.007879444361
819	0.00782034853
820	0.007761695917
821	0.007703483199
822	0.007645707077
823	0.007588364275
824	0.007531451544
825	0.007474965659
826	0.007418903417
827	0.007363261643
828	0.007308037182
829	0.007253226904
830	0.007198827704
831	0.007144836497
832	0.007091250225
833	0.007038065849
834	0.006985280356
835	0.006932890755
836	0.006880894075
837	0.006829287371
838	0.006778067717
839	0.00672723221
840	0.00667677797
841	0.006626702136
842	0.006577001871
843	0.006527674358
844	0.006478716802
845	0.006430126427
846	0.00638190048
847	0.006334036227
848	0.006286530956
849	0.006239381975
850	0.006192586612
851	0.006146142213
852	0.006100046147
853	0.006054295802
854	0.006008888585
855	0.005963821921
856	0.005919093258
857	0.00587470006
858	0.00583063981
859	0.005786910013
860	0.005743508188
861	0.005700431878
862	0.00565767864
863	0.005615246051
864	0.005573131707
865	0.00553133322
866	0.005489848221
867	0.005448674361
868	0.005407809304
869	0.005367250735
870	0.005326996355
871	0.005287043884
872	0.005247391055
873	0.005208035623
874	0.005168975357
875	0.005130208043
876	0.005091731483
877	0.005053543498
878	0.005015641923
879	0.004978024609
880	0.004940689425
881	0.004903634255
882	0.004866856999
883	0.004830355573
884	0.004794127907
885	0.004758171948
886	0.004722485659
887	0.004687067018
888	0.004651914016
889	0.004617024662
890	0.004582396977
891	0.004548029001
892	0.004513918784
893	0.004480064394
894	0.004446463912
895	0.004413115433
896	0.004380017068
897	0.004347166941
898	0.00431456319
899	0.004282203966
900	0.004250087437
901	0.004218211782
902	0.004186575195
903	0.004155175881
904	0.004124012063
905	0.004093081973
906	0.004062383859
907	0.004031915981
908	0.004001676612
909	0.003971664038
910	0.003941876558
911	0.003912312485
912	0.003882970142
913	0.003853847866
914	0.003824944008
915	0.003796256928
916	0.003767785002
917	0.003739526615
918	0.003711480166
919	0.003683644066
920	0.003656016736
921	0.003628596611
922	0.003601382137
923	0.003574371771
924	0.003547563984
925	0.003520957254
926	0.003494550076
927	0.003468340951
928	0.003442328394
929	0.003416510932
930	0.0033908871
931	0.003365455448
932	0.003340214532
933	0.003315162924
934	0.003290299202
935	0.003265621959
936	0.003241129795
937	0.003216821322
938	0.003192695163
939	0.003168749949
940	0.003144984325
941	0.003121396943
942	0.003097986467
943	0.003074751569
944	0.003051690933
945	0.003028803251
946	0.003006087227
947	0.002983541574
948	0.002961165012
949	0.002938956275
950	0.002916914104
951	0.002895037248
952	0.002873324469
953	0.002851774536
954	0.002830386228
955	0.002809158332
956	0.002788089645
957	0.002767178973
958	0.002746425131
959	0.002725826943
960	0.002705383241
961	0.002685092867
962	0.002664954671
963	0.002644967512
964	0.002625130256
965	0.002605441779
966	0.002585900966
967	0.00256650671
968	0.00254725791
969	0.002528153476
970	0.002509192325
971	0.002490373383
972	0.002471695583
973	0.002453157867
974	0.002434759183
975	0.00241649849
976	0.002398374751
977	0.002380386941
978	0.00236253404
979	0.002344815035
980	0.002327228922
981	0.002309774706
982	0.002292451396
983	0.002275258011
984	0.002258193576
985	0.002241257125
986	0.002224447697
987	0.002207764339
988	0.002191206107
989	0.002174772062
990	0.002158461272
991	0.002142272812
992	0.002126205767
993	0.002110259224
994	0.00209443228
995	0.002078724038
996	0.002063133608
997	0.002047660106
998	0.002032302656
999	0.002017060386
